별점,리뷰,긍/부정
4,참치김밥 좋아하는 딸아이가 배가 불러서인지 김밥을 조금 남겼네요 빠른 배송 감사합니다,1
5,따뜻하고 맛있게 잘 먹었습니다.,1
5,돈까스도 떡볶이도 우동도 김밥도 순대도 맛 없는게 하나도 없네요~ 맛있게 잘 먹었습니다 항상 코로나 조심하시고 건강하세요~^^,1
5,양도 푸짐하고 맛있게 잘 먹었습니다.,1
1,하‥‥ 할말하않‥‥‥‥‥‥,-1
5,맛있게먹었습니다,1
5,배달도 빠르고 알차서 좋아요,1
5,맛있게잘먹었어요!!! 김밥도엄청실한데 사진을못올려서아쉬네요 짬뽐라면은 정말맛있다며 흡입했구요 우동은 아이가잘먹네요^^ 또주문할께요~^^,1
5,너무너무너무너무 좋아요,1
5,빨리 오고 맛있었어요,1
4,맜있어요 다만 비빔면이 떡져서 왔어요 육수 주신걸로 풀어도 서로 뭉친부분이 있네요 ㅠ,1
5,배송이 빠르고 좋아요..,1
5,너무 너무 너무 너무 양이 많아요 정말 배터져 죽을거 같지만 다 먹게되는 마약같은 맛입니다,1
5,배송이 빠르고 좋아요~,1
5,맛있게 잘 먹었습니다. 감사합니다.,1
5,맛있게 잘 먹었습니다^^,1
5,맛납니다 감사합니다,1
5,아주 맛나게 잘먹었습니다,1
5,맛습니다 잘 먹겠습니다,1
5,맛있게 잘먹었네요 다음엔 콩국수 곱배기로다가 ㅋㅇㅋ,1
5,맛있게 묵엇습니다 ㅎ,1
5,쫄면도 김밥도 순대도 어묵국물도 다 너무너무 맛있어요 만두까지 모두 이루케 맛있을일인가요 ㅋㅋㅋ 참치김밥은 집김밥쌀필요가없네요 배달도빠르고 너무너무 친절하세요~~~ 잘먹었습니다^^,1
1,돈까스세트 라볶이 주문 라볶이는 다 불어서 면이 떨어지지 않고 가위로 잘라 먹음 돈까스도...할 말이 없네요 ㅡㅡ,-1
5,정말 맛있게 잘 먹었어요.,1
5,괜춘한맛에 양도 적당하고 담에 또시킬께요,1
5,맛있게 잘 먹었습니다,1
5,정보에 적힌대로 1시까지 영업해주셔서 감사합니다 밖에 날씨가 쌀쌀한데 음식이 따듯하고 맛있고 빠른 배달까지.. 감사합니다 맛집입니다.,1
5,맜있게 잘 먹었어요.,1
5,김밥 맛나게 먹었습니다,1
5,맛있게 잘 먹었습니다 ~~~,1
5,다좋은데 한가지아쉬운점이 김치중국산 못먹겟네요,1
5,맛있었어요~~~~~,1
5,배송이 빠르고 좋아요~~,1
5,빠르고 맛있고 깔끔하고 좋아요,1
4,간만에 맛 최고 ~~^^,1
5,맛있게 잘 먹었습니다,1
4,먹고난후라 사진이없어요 쫄면 야채가 더있었음좋겠구요 양념장은 조절할수있게 따로담아주시면좋겠어요 매콤하니 맛있는데 짭니다ㅠ,1
4,김밥땡겨서 시켜 먹었는데 맛있네요,1
5,不?不?不?不?不?不?不?,1
5,오랜만에 쫄면에 돈까스 이조합은 못참지,1
4,맛있고 배달도 빠르다,1
5,진짜맛있게잘먹었습니다.,1
5,뜨끈뜨끈 진짜 완전 뜨끈뜨끈ㅠㅠ 가게가서 먹는줄 뜨끈하고 맛있고 이벤트반찬서비스들도 많고ㅠㅠ 넘 잘 먹었어요♡♡♡♡♡♡♡ 강추,1
5,섬세함이좋았어요 맛있고,1
5,잘 받았습니다~ 가성비 좋아요,1
5,맛있게 잘 먹었습니다 번창하세요,1
5,맛있게 잘 먹었습니다~~,1
5,김밥 항상 너무 잘먹고있어요 물만두도 맛있고 라면도 맛있고~,1
5,배달 빠르게 왔네요. 넘 맛있으니까 다 먹고 사진 못 찍었어요 . 사장님 많이 파세요??,1
5,매콤하면서 맛나더라구요,1
4,돈가스소스가 너무 달아요. 다른건 만족합니다.,1
5,맛있게냠냠 자가격리중 바깥음식으로 위뢰받아봅니다 힝,1
5,안녕하세요 사장님 맛있게먹고 후기남겨요 아쉬운게있다면 면이 조금뿔은건데 그래도 5점드릴게요,1
5,맛있게 잘 먹었어요^^,1
5,진짜 맛있어요..... 또 먹고싶다,1
4,돈까스김밥 돈까스 바삭하니 맛있네요. 부대찌개도 간좋고 good~,1
4,너무맛있게 잘먹었어요. 반찬도 골고루 주셔서 밥한끼로 아주좋네요. 이렇게 시키면 3끼는 먹을수있네요^^,1
2,후기 가 좋아 시켰으나 면은 덜익고 국물은 조미료 맛만 다음번엔 안시키려구요 배달도 한참 걸리고요,-1
5,오늘 등심돈까스랑 치즈돈까스를 먹었는데요 음식도 너무 맛있고 배달도 빠르고 좋았어요 다음에 또 시켜 먹을께요 감사합니다~~^^,1
5,맛있게 잘 먹었습니다 ~감사합니다!!^^,1
5,맛있게 잘 먹었습니다,1
5,다 맛있었는뎅 들깨칼국수에 깨맛이 별루 않나서 아쉬웠어요 맛이없는건 아니에여,1
4,먹을만해요~~~~~~~~~~~~~~,1
5,잘먹었습니다. 수고하세요.,1
5,너무너무너무너무너무너무 맛있어요!,1
5,배달 40분 정도 걸렸어요 돈까스 두툼해요 소스 달달하면서도 자극적이지 않고 간도 딱좋아요 피클과 콘옥수수 신선했어요 양배추 신선도는 보통이요 돈까스 김밥 우동 면이 좀 짧게 잘려있었지만 맛은 괜찮았어요 우동에 어묵도 들어있어요^^ 유아둘 성인한명 한끼 식사로 딱 좋아요♡ 아이들도 맛있다며 다음에 또 주문하기로 했어요^^,1
4,칼질을 좀 잘해주셨음합니다 매번 김밥이 두세개식 붙어있어요,1
4,찬도 나오고 좋았습니다. 순두부찌개 아주 맛있네요. 김밥과 라면도 맛있었습니다~,1
5,적당한가격 적당한맛 적당한만족,1
5,김밥 라볶기 참 맛있어요. ㅎㅎ,1
5,배부르게 잘 먹었습니다.,1
4,잘 먹 었 어 요,1
5,배부르게 잘 먹었습니다.,1
5,잘받았습니다^^ 맛도 좋아요,1
5,맛있습니다.조아요 수고하세요,1
5,맛 없으면 한강 다리에서 떨어지겠습니다. 돈까스에 고구마와 치즈가 한데 어우러져 느끼함이 살짝쿵 있지만 함께 온 김치와 국이 느끼함을 잡아줍니다. 오므라이스에는 소스 진국입니다 이거 김밥 하나 두개 먹으면 어느 순간 사라지더라구요 ,1
5,배송도 빠르고 좋아요 맛도 좋구요,1
3,라뽁이가 매우면서 간은 안대잇어여 다른것맛있어요,1
5,사무실을 비우지못할 상황이라 요기요를 통해 주문했는데 빠른 시각안에 정성껏 포장해주셔서 김밥 잘먹었습니다. 계란으로 겉을 감싼 모둠김밥 맛도좋고 새콤한 김치김밥 또한 느끼할 수 있었던 치즈김밥과 찰떡궁합이었습니다.,1
3,먹을만 했어요ㅎㅎㅎ,1
5,배달도 날씨 안 좋은데 빨리왔어요ㅎㅎ 특히 청국장이 찐이예요... 김밥천국이라 다들 기대안하는데 시키면 찐 청국장이라 국물적고 밥 비벼먹기 딱 좋아여! 추천!,1
5,양많네요 밑반찬도 있어여 냉면육수 간은 좀 안맞긴한데 먹을만해요 육수 양이 좀더 많으면 짱일것같아요 잘먹었습니다,1
5,감사히 잘 먹었습니다 군란 좋네요 요즘 금란인데,1
5,변함없는 맛입니다 잘먹었습니다,1
5,받은지5분만에정신없이먹어서 사진을중간에찍었네요.. 여기는 제 최고단골집입니다 맛도좋구 제입맛에항상맞춰주시는거같아요♥ 언제나감사합니당♥ ♥ ♥ 맛도좋고배달사장님도친절하시고 다좋아요 ♥ ♥ ♥화이팅입니다,1
5,빠른배달! 날씨도안좋은데 돈까스가 따뜻하게 와서 잘먹었습니다!,1
5,맛있게 잘 먹었습니다!!!!ㅎ 쫄면은 살짝 매웠는데 김밥이랑 먹으니까 딱이더라구요.ㅎㅎ,1
2,그냥그러네요....,-1
5,꾸준한 맛을 자랑합니다,1
5,푸짐하게 잘먹었습니다.,1
4,맛도 괜찮고 배달이 빨리와서 좋았어요,1
3,맛있었고.양도 그냥저냥.다좋았어요.모듬김밥은 참치 김밥인줄알았어요.ㅜㅜ배달은 너무 늦게와...기다리는게 힘이들었습니다.,1
5,맛과 양.배달 모두 만족합니다~~,1
4,요즘 배달이 많아서인지 좀 늦었어요. 음식은 괜찮았습니다.,1
5,맛잇어요 돈가스는 소스가 맛잇는데 배달하는데 시간걸려서 약간 눅눅,1
4,김밥 하고 돈까스는 먹을만 한데 우동이 맛때가리 없네 ㅠㅠ,1
5,배달이 좀 늦게왔어요. 맛은 좋았습니다.,1
5,굿~~~~~~~~~잡,1
3,솔직히 우동 싱겁고 참치김밥응 마요네즈 소스 때문인지 이터져잇었어요,1
5,항상 맛있게 잘먹고있습니다,1
5,양도 많고 빠르고 맛도 좋습니다. 다음에 또 주문할랍니다.,1
5,푸짐하게 잘 먹었습니다.,1
3,적당하게 맛있습니다,1
5,배달빠르고 양많고 좋습니다,1
5,감사합니다 맛있게 잘먹었습니다 ㅎㅋ,1
5,맛있어요~~잘먹었습니다,1
5,자주 시켜먹는데 맛도 좋고 양도 많고 배달도 빠르네요 입맛이 저랑 맞아서 좋습니다,1
4,날씨때문에 배달이 늦었구요 소면은 면을 많이 주신건지?육수를 적게주신건지? 야채김밥엔 양배추맛만 났어요 떡볶이랑 순대는 쏘쏘했습니다.,1
5,역시 잘 시켜먹고 있습니다,1
5,배달 빨라요 잘 먹겠습니다^^,1
5,신속.친절.양많고 맛있고 배달비 없고... 더 필요한게 없네요.많이 파세요.,1
5,항상 빠르고 친절하고 맛있어요.,1
4,맛있게 먹었습니다 쫄면이 좀 많이 불어서 와서 아쉬웠네요,1
5,김밥 국물떡볶이 모두 맛있어요 완전~~^^ 아니 생맥주를 파는 김밥집이 있다니요 ㅋㅋㅋ 너무 은혜로운 김밥집이네욤,1
1,열무냉면에 면빼고 열무냉 만 먹었어요 면이 딱딱하고 맛이없어요 반찬으로 주신 김치가 간거같아요 돈가스에서 뼛조각이 나왔어요,-1
5,푸짐하게 잘 먹었습니다.,1
5,맛있게 잘 먹었습니다,1
5,배달이 아주 빨라서 좋아요.,1
5,항상 변함없는게 좋네요. 배달하시는분 매우 친절하고 빠르고 맛있고... 많이 파세요.,1
5,양도 푸짐하고 잘 먹었습니다.,1
5,잘 먹었습니다아아아아 칼국수 또 시켜먹으께영♡,1
4,국물떡볶이는 좀 덜익은것같아서 별로였지만 순대와 김밥은 정말 맛있음,1
5,순한맛 시켰는데 좀 매웠어요 ㅠ 그러나 맛있게 잘 먹었습니다,1
5,양도많고 맛있고 배달이 빨라요!,1
5,음식이 대체로 맛있습니다. 다음에는 치킨메뉴시켜볼게요,1
5,배고파서 가운데 달걀먹고 찍었어여ㅎㅎㅎ 비빔밥에 야채 넉넉히 부탁드리고 고추장 따로 달라고 까다롭게 했는데 잘 들어주셨어요ㅎㅎ 감사해요! 참치찌개도 맛있었어요 다음에 또 시켜먹을께요 ♡,1
5,얼큰하게해주셔서 감사합니다♥ 양도많고 맛도좋고 배달하시는분도 너무친절하시구 감사히잘먹었습니다!!,1
4,배달은 완전 친절하게 잘해주셨는데 죽은 죽전문집이.....예전에 분식이 맛있어 혹시나하고 주문했는데 다음에는 분식류만 주문해야겠어요.,1
5,배부르게 잘 먹었습니다^_^ 쫄면 소스를 따로 주셨으면 좋겠어요... 제 입맛엔 너무 매워서.. 조금만 넣어먹고싶습니당,1
3,조금 맵긴 했지만 맛있었습니다 항상 코로나 조심하시고 건강하세요~,1
5,여러 번 먹었어요 짬뽕 정말 맛있어요.,1
1,어딘지모르고 배달앱으로 주문 했었는데 그 곳이 맞군요 홀에서 돈까스 우동세트랑 고구마치즈 돈까스 시켰는데 떡갈비수준의 돈까스였고 튀겨진 느낌이 아무것도 없었고 돈까스에서 잡내가 나서 한개 집어먹고 바로 젓가락을 두고 나왔었죠 맛이 없었냐고 계산할때라도 물어보시는 것도 없었고 돈만 따박 받으시던데 요식업 하시는거면 양심 좀 갖고 파셨으면 좋겠네요,-1
1,무슨 배달시간이 40분이 넘게 걸립니까? 그것도 예상시간보다 한참 지나서 오네요. 또다시 시키고 싶지는 않네요...,-1
3,김밥이 조금 밍밍했네요,1
4,맞 있어요. 배달 빨라요.,1
5,김밥천국은 만능이죠. 학생때 많이 갔던 기억이 있어서 오랜만에 시켜먹었는데 역시나 그대로네요. 양도많고 맛도좋고 계란찜도 잘먹었습니다.ㅎㅎ,1
5,최고에요 좋아요 다음에도 주문할께요,1
5,항상 코로나 조심하세요~,1
5,맛잇게 잘먹엇어요 감사함니다,1
4,치즈김밥. 참치김치찌개. 들깨수제비 시켰는데 김치찌개는 얼큰한게 맛있었어요. 들깨수제비가 좀 간이쎄서 별하나 뺐습니다. 잘 먹었습니다.,1
5,배달이 빠르네요.잘먹었어요,1
1,일단 양이 작아서 놀라고 맛이 없어서 깜짝 놀랐네요. 내돈 ㅠㅠ,-1
5,맛있게 잘머거써요????,1
5,항상 잘먹고 있어요 김밥 썰때 신경 써주시면 좋겠어요 김이 안썰려있어서 집으면 다 터져요,1
5,제육덮밥은 다사랑이 진리.. 양도 많고 맛있게 먹었습니다.,1
5,맛있게 잘 먹었습니다,1
5,맛있어요 너무 또 먹을게요,1
3,여기서는 처음 시켜봤는데 살다가 이렇게 맛없는 떡볶이를 먹네요. 정말 최악이고요. 쫄면도 다른데서 먹던 쫄면 맛이 아니네요. 김밥은 맛없는게 불가능하니까 맛있어요. 다른 분들 리뷰도 참고하시고 주문 해주세요. 할인 많이해서 시켜봤는데 정말 할인 많이하면 시켜볼까 실망한 메뉴는 빼고 시켜야겠네요ㅠ,1
2,김밥빼고 먹을거 없네용..,-1
5,땡초는 너무매움 다른건 맛있음,1
5,아이들이 워낙 좋아해서 또 시켰네요,1
4,맛있게 잘 먹었습니다,1
5,양도 푸짐하고 맛있어요,1
4,가성비긴하지만 제육덮밥 거의양파양배추 빼면 고기가진짜없어서 아쉬웠고 배달비닐봉지에 국물다 샛네요ㅠ 다음엔 잘좀부탁드려요,1
5,맛있고 배달이 빨라요.,1
5,맛있어요~~깔끔하고요^^,1
5,오랜만에 주문해서 먹었네요 한결같이 맛있네요 김치가 좀 쉬었는데 못먹을정도는 아니네요 반찬들도 맛있고 달걀찜도 간이 맞네요,1
5,여기 떡볶이쫄면세트는 가성비 갑이예요^^,1
5,맛있게 잘 먹었습니다,1
5,배달시간도 빠르고 맛도 있었습니다. 다만 알탕에 알이 조금 적어서 아쉬운? 정도 였네요.. 잘 먹었습니다.,1
5,아이들이 맛있게 잘 먹었다고 합니다. 학교 어린이집을 못가다보니... 저는 일을하기때문에 아이들 점심때문에 주문해줬는데... 딸과 아들이 안심하고 맛있게 먹을수있어서 좋은것 같아요 다양하게 있어서 먹고싶은걸 한번에 주문을 할수있으니... 더 좋은것 같아요~~~^^ 사업번창하시고 대박나세요 ~~~~,1
4,맛있어요 특히 김밥이맛있네요,1
5,매운거 잘먹는 사람은 좋을듯 ㅎㅎㅎ,1
5,음식 맛은 괜찮고 깨끗한 밀폐용기에 위생적으로 포장되어 좋은데 배달은 비가 와서 그런지 1시간 걸렸어요,1
5,육계장 시켜 먹었는데 맛있었어요,1
4,볶음밥 맛있어요~ 계란찜을 스티로폰 일회용에 만드시는거 같은데 환경유해물질 나올거같아 찝찝해요,1
4,잘 먹었습니다 수고요,1
4,맛은잘모르겠네요 배달은 좀 느리고요,1
5,완젼맛있어요~~ 우동은 아이가 흡입해서 못찍었어요 ㅠ 우동이랑 냉면 둘다 맛있어요 배달도빨라서 안불고 왔어요,1
5,너무너무너무너무좋아요,1
3,마싯네요. 마니파세여,1
5,아이들이좋아해서 자주 시켜먹게되네요,1
5,날씨가더워 시켰는데 맛나요 ㅎㅎ 전문점에서 파는거같아요 면도 안불고 양도 적당해요 맛있게 잘먹어요 ㅎㅎ 재주문각입니당,1
3,맛은 그럭저럭인데 우동이 좀 짜게 왔네요.,1
5,맛있게 잘 먹었습니다,1
5,양도 푸짐하고 맛도 괜찮네요. 잘 먹었습니다.,1
5,맛있어요치즈떡볶이쫄면오뎅김밥 ㅎㅎ,1
5,항상 맛있게 먹고 있어요,1
4,돈까스 셋트하고 볶음밥 배달시켜 먹었는데 둘다 맛있었어요 특히 볶음밥이 꼬들하니 제스타일이었고 개인적으로 돈까스소스를 좀더 진한색의 묽은게 좋을거같아요,1
3,빠른배달 감사합니다. 제육볶음은 밥만많고 고기가 조금들어있네요... 뚝배기불고기는 둘째먹이려고 주문했는데... 별루라고 안먹고 저와 딸만 먹었네요... 고기가 좀 질겼어요... 육개장은 맛이 밍밍한것같아요... 국물이 맹물에 고추가루 따서 좀더 끓인맛이 나요. 오늘은 좀 별루였어요... 사업번창하시고 대박나세요 ~~~~,1
3,쏘쏘했던 것 같아요. 좀 더 맛있으면 좋겠어요,1
2,라볶이가 너무불어서 왔어요ㅠ,-1
3,아오~ 음식이 저한텐 전부 다 짜요. 동태찌개는 쓸개가 들어갔는지 쓰고 쫄면은 새콤달콤 맛있어야 하는데 맵기만하고 고추장도....오뎅은 국물이 쫄은건지 너무너무 짰어요. 저한테는 전혀 안맞네요.ㅠㅠ,1
4,바빠서 그런지 몰라도 양이 적고 배달도 오래걸린 ㅜ,1
5,아이들이 먹고싶다해서 주문했어요~~^^ 맛있게 잘 먹었어요~~~ 다음에도 또 주문할께요~~~ 사업번창하시고 대박나세요 ~~~,1
4,배달시킨음식 모두 만족스러워요 ^^,1
4,면시켜서 뿔어올건 당연히 생각했음 생각보다 맛났어요 다음에또 시켜먹을께요,1
5,뚝불 맛있어요~!! 양도 많고 참치김밥은 마요네즈 많이달라고 요청했는데 많이 넣어주셔서 맛있게 먹었습니다^.^,1
5,맛있게 잘 먹었습니다,1
5,아침도 못먹어서 급하게 먹었더니... 사진찍는걸 깜빡했네요ㅎㅎㅎ 배달도 빠르고 맛있게 잘 먹었어요~~^^ 사업번창하시고 대박나세요 ~~~,1
3,음배달시켜서그런건지는모르겠으나.. 맛이좀ㅜㅜ,1
4,아침일찍 주문해서 그런가 떡볶이 소스가 겉도는 느낌이었어요 순대는 돼지냄새가 많이 났고 저번엔 좋았었는데.. 담번에 주문할땐 괜찮을거라 믿습니다,1
5,맛있어요 잘먹었습니다,1
5,배송빠르고 양도 많고 맛도 좋았아요 다음에 또 시키먹을께요,1
4,배달 빠르고 맛있어요,1
4,괜찮네괜찮아죠아죠아,1
5,친구집에서 오징어회 먹는데... 아이들이 오징어회를 먹지 못해서 주문했는데... 맛있게 잘 먹었어요~~~^^ 계란찜이 있어서 정말 좋았어요~~~ 둘째가 계란을 좋아해서 그거랑 밥비벼서 줬는데... 혼자 다 먹었어요ㅎㅎㅎ 먹다보니...사진을 못찍었네요... 다음엔 미리찍어놔야겠어요ㅎㅎ 사업번창하시고 대박나세요 ~~~,1
5,배달도 빠르고 따듯하게 와서 너무 맛있게 잘먹었어요 ! 근데 고구마치즈돈까스에 치즈가 별로 안들어 있어서 살짝 아쉬웠습니다,1
5,배달도빠르고맛도좋아요.,1
5,맛나게 잘 먹었습니다 빠르고 따끈하게 배달해주셔서 떡뽁이우동이 아주 좋으네요,1
5,양도 괜찮고 맛도 너무 맛있었는데 살짝 아쉬운점은 시킨게 너무 많아서 였는지 거리가 좀 되서 그런지 배달예정시간보다 늦게 와서 그게 좀 아쉬워요 ㅠ,1
5,다먹어서 전단지로 찍었어요..ㅜ.ㅜ 죄송합니다. ㅎㅎ 맛있게 잘 먹었어요 ~~~ 아이들이 맛있다고하네요~~^^ 사업번창하시고 대박나세요 ~~~,1
1,평범하게 맛없습니다,-1
5,맛나게 잘먹었습니다,1
4,맛이 좋아 재주문이 많은 집입닏ㆍ,1
5,시원하게 맛있게 잘먹었어요. 담에는 면추가할까봐요~ㅎㅎ 아쉬웠어요~,1
5,역시 김밥천국이네요. 중국 출장이후 처음 먹어보는 이맛,1
5,맛있게 잘 먹었어요 한식으로 간단히 먹기 좋아요,1
4,평범한 맛.. 실망은 아님..,1
3,ㅎㅎ^^....넹... 김천맛은 김천이죠 뭐,1
3,양적은거 빼고는 무난합니다.,1
3,포장이 잘못된건지 배달이 잘못된건지 국물이 다 쏟아져서 왔어요,1
5,항상 맛있게 잘 먹고있습니다. ^^,1
5,치즈돈까스 너무 맛있어요 ㅠ,1
1,최악입니다 맛은 둘째치고 배달도 늦을뿐더러 잘못배달했는데 매너도없고 잘못 배달된 음식도 한참뒤에가져다주고서는다퍼져서 먹지도못하고다버렸습니다.,-1
4,다른건 다좋은데 계란찜 국물이 다엎질려서왔내요 배달즘 똑바로 해줄수는 없나생각이드내요,1
5,만족하면서 먹었어요,1
5,양이 푸짐하고 찌개 반찬 모두 맛있어요,1
4,부대찌개도 맛있고 돈까스도 맛있네요! 돈까스 육질이 좋아요,1
5,배달시간이 너무 오래걸려서 아쉬웠지만.. 짬뽕을 시켜서 면이 조금 불긴했지만.. 국물이 중국집만큼이나 맛있었습니다ㅎ 다음에는 배달이 좀 더 빨리 왔으면 좋겠어요ㅎ,1
1,아 진짜 짜쯩나네요 배달 너무 늦어지고 공기밥 안에 김이 들어있네요 다시 주문안할게요!!!! 비추천!!!!,-1
5,맛있었어요~배달도 빠르고 감사합니다,1
3,음식배달이늦어요 맛은 걍~고만고만하네요,1
5,맛있습니다아아아아아,1
5,맛있게 잘 먹었어요,1
5,잘먹었습니다 감사합니다 ㅎㅎ,1
3,so so~~~~~~~~~~,1
2,조금전에 주문할때 세트메뉴 추가금내고 참치김밥으로 변경했는데 그냥김밥으로 잘못 왔네요.... 저번에 다른업체도 그렇고 요새 왜이리 메뉴가 잘못오는건지...제가 운이 없나봅니다 1500원 환불받아야하는데 그냥 리뷰만 남기고 넘어가겠습니다,-1
5,매주 시키지만 시킬때마다 맛도 좋고 양도 짱 입니다 배달 도 짱 이구요 번창하세요,1
5,수제비하고 참치김밥을 시켰는데 양도 많고 맛도 좋았어요. 맛있어서 항상 이집에서만 시켜요.,1
5,맛있습니다 늘시켜먹습니당,1
5,감사합니다 잘 먹겠습니다,1
5,정말 맛있게 잘 먹었습니다~고치돈은 몇 번을 먹어도 맛있네요! 배달도 20분만이었나? 암튼 진짜 빨리와서 더 좋았던것 같습니다^^,1
5,깔끔하고 맛도 있고 배달이 빠르네요 !!!,1
5,너무너무너무너무좋아요,1
5,맛있어요. 배송이 좀늦긴 했지만~,1
5,번거롭게 김밥한줄씩 싸달라했는데도 일일히 하나씩 싸주시고 배달도 빨리오고 무엇보다 맛 깔끔하네요... 다만 참치김밥 마요네즈 다 흘러있고 오뎅국물 흥건히 흘러있고 포장이 조굼 아쉬숴요 담엔 좀더 신경 써쥬시겠죠? 믿고 또시킬게요,1
4,메뉴가 많아서 먹고 싶은거 골라서 먹을수 있어서 좋아요.. 맛은 엄청 맛집은 아니지만 먹을만해요,1
5,맛있어요!!!!!!,1
5,맛있어요 잘 먹을게요,1
4,양이 좀 적네요 ㅜㅜ,1
5,맛있었습니다!!!!!!!!,1
4,??????????????????,1
5,양도 많고 돈가스도 따뜻하게 맛있게 잘먹었네요.,1
5,늘~~~~잘시켜먹습니당,1
5,맛있게 잘 먹었어요. 라이더님도 친절하시고..... 저희 가족이 먹기에는(불고기랑 낙지덮밥) 생각보다 양이 많아서 남겼다가 다음날 데워먹었는데....그래도 맛있었어요,1
3,치즈떡볶이 주문했는데 치즈가 안 녹은대요 ㅠㅠ 맛이 없어요 조금 실망했네,1
5,너무너무너무너무좋아요,1
5,맛있어요!!!!!!!!,1
3,돈까스는 조금 엷음 참치찌개는 무난,1
5,맛있어요 !!!!!!!!,1
5,양도 많고 맛도 괜찮아요~,1
4,샐러드로 나온 양배추가 색이 갈색이더라구요 지난번 맛이 괜찮아서 재주문 했는데 이번은 실망했네요,1
5,맛있어요 배달도 빨리오고,1
2,김밥은 큽니다. 다만 안에 양배추가 절반 이상을 차지하고 있어서 내가 김밥을 먹는건지 샐러드를 먹는건지 모르겠네요. 라볶이는 불은 오뎅탕에 불은 라면 넣고 물많이 끓인거 같네요. 뭔 맛인지 모르겠어요.,-1
5,양으로 사람 죽이는 집.... 맛도 있음...,1
3,돈까스 세트에 김밥이 쉬어서 버렸어요.쉰네가 심하고땡초김밥으로 변경했는데도 그냥 일반 김밥으로 왔어요.,1
5,오랜만에 시켰는데 양도 많이 주시고 잘 먹었습니다.~~,1
5,항상 양도 많고 너무 맛있어요ㅠㅠ 모든 메뉴에서 맛없는게 하나도 없어요..?? 맛있게 잘먹었습니당??,1
4,맛있게 잘 먹었습니다,1
5,감사히 잘먹었습니다 수고하세요,1
5,맛있게 잘 먹었습니다~,1
5,메뉴가 다양해서 좋네요,1
5,아이들이 좋아해서 다행이네요,1
4,맛있구요 ㅎㅎ 배달도 빨라요,1
3,잘먹었어요.~~~~~~~,1
5,사장님 잘먹고있습니다 수고하세요,1
5,윽...짱 배불러..,1
5,맛있어요 !!!!!!!!!!!,1
5,맛있어요 배달시간도 많이 늦지않았구요,1
5,정말맛나요 오늘도만족합니다,1
5,진짜 2주동안 3~5번시킨거같은데 시킬때마다 너무만족합니다 정말맛나요 !!!,1
5,????????????,1
1,배달 엄청 늦음. 맛있어도 배달 늦으면 안시켜먹음.,-1
5,늘잘시켜먹고있습니다~~~~~,1
5,청국장 너무맛있어요 친절아저씨가 감사해요 !!!,1
5,맛있어여 !!!!!,1
5,빨리배달되어 조아오맛잇어요,1
5,맛있네요 왜죠?!!?,1
5,밋있어요 !!!!!!!!!!!!,1
3,맛은 제기준으로 그냥 그래요. 빠른배송은 좋아요,1
5,배달도 빠르고 맛있네요,1
5,배달분친절하시고 맛있었네용,1
5,땡초 매우 맵네요 죽을뻔했어요,1
5,신속한 배달 맛도 좋아요,1
5,배방에선 여기가 탑입니다 메뉴도 다양하고 맛있습니다 왠만하면 길게 안쓰는데 여기는 최고입니다 깔끔하고 다음엔 중식한번 도전해보겠습니다,1
5,맛있고 배달도 빨라요,1
5,배달도 빠르고 넘 맛있게 먹었어요,1
2,우동은 불은건 둘째치고 너무닝닝 돈까스도 그냥 저냥,-1
